Chidamber-Kemerer metrics,sexta, 3 dez 2021 16:27:51 GMT
Class,CBO,DIT,LCOM,NOC,RFC,WMC
org.jabref.gui.autocompleter.StringSuggestionProvider,5,2,4,3,9,3
org.jabref.gui.autocompleter.SuggestionProvider,45,1,1,4,17,3
org.jabref.gui.autocompleter.SuggestionProviders,24,1,1,0,11,7
org.jabref.gui.autocompleter.SuggestionProvidersTest,16,1,1,0,15,4
org.jabref.gui.autocompleter.WordSuggestionProvider,8,3,1,0,8,2
org.jabref.gui.auximport.AuxParserResultViewModel,5,1,1,0,17,5
org.jabref.gui.auximport.FromAuxDialog,16,3,1,0,43,6
org.jabref.gui.auximport.NewSubLibraryAction,6,3,1,0,7,2
org.jabref.gui.bibtexextractor.BibtexExtractor,5,1,1,0,40,24
org.jabref.gui.bibtexextractor.BibtexExtractorViewModel,18,1,1,0,38,9
org.jabref.gui.bibtexextractor.ExtractBibtexAction,8,3,1,0,9,2
org.jabref.gui.bibtexextractor.ExtractBibtexDialog,10,3,1,0,25,2
org.jabref.gui.citationkeypattern.CitationKeyPatternAction,6,3,1,0,8,2
org.jabref.gui.citationkeypattern.CitationKeyPatternDialog,10,3,1,0,19,3
org.jabref.gui.citationkeypattern.CitationKeyPatternPanel,15,5,1,0,44,17
org.jabref.gui.citationkeypattern.GenerateCitationKeyAction,20,3,1,0,30,18
org.jabref.gui.citationkeypattern.GenerateCitationKeySingleAction,12,3,1,0,14,4
org.jabref.gui.cleanup.CleanupAction,20,3,1,0,45,16
org.jabref.gui.cleanup.CleanupDialog,7,3,0,0,11,2
org.jabref.gui.cleanup.CleanupPresetPanel,9,6,1,0,41,22
org.jabref.gui.collab.ChangeDisplayDialog,7,3,1,0,45,10
org.jabref.gui.collab.ChangeScanner,27,1,1,0,40,10
org.jabref.gui.collab.DatabaseChangeListener,n/a,n/a,n/a,n/a,1,n/a
org.jabref.gui.collab.DatabaseChangeMonitor,12,1,1,0,20,5
org.jabref.gui.collab.DatabaseChangePane,9,7,1,0,16,2
org.jabref.gui.collab.DatabaseChangeViewModel,17,1,3,10,11,6
org.jabref.gui.collab.EntryAddChangeViewModel,14,2,1,0,20,3
org.jabref.gui.collab.EntryChangeViewModel,11,2,1,0,28,5
org.jabref.gui.collab.EntryDeleteChangeViewModel,12,2,1,0,18,3
org.jabref.gui.collab.GroupChangeViewModel,12,2,1,0,25,7
org.jabref.gui.collab.MetaDataChangeViewModel,7,2,1,0,13,4
org.jabref.gui.collab.PreambleChangeViewModel,9,2,1,0,17,5
org.jabref.gui.collab.StringAddChangeViewModel,9,2,1,0,20,3
org.jabref.gui.collab.StringChangeViewModel,7,2,1,0,18,3
org.jabref.gui.collab.StringNameChangeViewModel,8,2,1,0,16,4
org.jabref.gui.collab.StringRemoveChangeViewModel,8,2,1,0,21,3
org.jabref.gui.commonfxcontrols.CitationKeyPatternPanel,12,6,2,0,59,9
org.jabref.gui.commonfxcontrols.CitationKeyPatternPanel.HighlightTableRow,4,9,1,0,7,4
org.jabref.gui.commonfxcontrols.CitationKeyPatternPanelItemModel,5,1,2,0,15,7
org.jabref.gui.commonfxcontrols.CitationKeyPatternPanelViewModel,8,1,1,0,29,11
