Chidamber-Kemerer metrics,sexta, 3 dez 2021 16:27:51 GMT
Class,CBO,DIT,LCOM,NOC,RFC,WMC
org.jabref.gui.help.VersionWorker,8,1,1,0,24,9
org.jabref.gui.icon.IconTheme,78,1,3,0,46,13
org.jabref.gui.icon.IconTheme.JabRefIcons,76,n/a,3,n/a,23,8
org.jabref.gui.icon.InternalMaterialDesignIcon,4,1,2,0,27,10
org.jabref.gui.icon.JabRefIcon,n/a,n/a,n/a,n/a,5,n/a
org.jabref.gui.icon.JabRefIconView,3,5,3,0,23,10
org.jabref.gui.icon.JabRefIkonHandler,1,2,4,0,10,5
org.jabref.gui.icon.JabRefMaterialDesignIcon,3,n/a,3,n/a,8,6
org.jabref.gui.icon.JabrefIconProvider,2,1,1,0,1,1
org.jabref.gui.importer.GenerateEntryFromIdAction,19,3,1,0,24,8
org.jabref.gui.importer.GenerateEntryFromIdDialog,10,1,2,0,16,5
org.jabref.gui.importer.GrobidOptInDialogHelper,7,1,1,0,8,3
org.jabref.gui.importer.ImportAction,26,1,1,0,68,15
org.jabref.gui.importer.ImportCommand,15,3,1,0,30,5
org.jabref.gui.importer.ImportCustomEntryTypesDialog,8,3,1,0,21,5
org.jabref.gui.importer.ImportCustomEntryTypesDialogViewModel,7,1,3,0,15,9
org.jabref.gui.importer.ImportEntriesDialog,28,3,1,0,82,15
org.jabref.gui.importer.ImportEntriesViewModel,28,2,2,0,71,27
org.jabref.gui.importer.ImporterViewModel,3,1,4,0,11,5
org.jabref.gui.importer.NewDatabaseAction,5,3,1,0,7,2
org.jabref.gui.importer.NewEntryAction,14,3,1,0,25,7
org.jabref.gui.importer.NewEntryActionTest,11,1,1,0,20,3
org.jabref.gui.importer.ParserResultWarningDialog,5,1,1,0,20,7
org.jabref.gui.importer.actions.CheckForNewEntryTypesAction,13,1,1,0,19,4
org.jabref.gui.importer.actions.GUIPostOpenAction,n/a,n/a,n/a,n/a,2,n/a
org.jabref.gui.importer.actions.MergeReviewIntoCommentAction,8,1,2,0,11,3
org.jabref.gui.importer.actions.MergeReviewIntoCommentConfirmationDialog,4,1,1,0,9,2
org.jabref.gui.importer.actions.OpenDatabaseAction,26,3,2,0,77,23
org.jabref.gui.importer.fetcher.LookupIdentifierAction,20,3,1,0,36,12
org.jabref.gui.importer.fetcher.WebSearchPane,19,2,3,0,60,10
org.jabref.gui.importer.fetcher.WebSearchPaneViewModel,16,1,3,0,51,14
org.jabref.gui.importer.fetcher.WebSearchPaneViewModelTest,4,1,1,0,17,6
org.jabref.gui.integrity.IntegrityCheckAction,16,3,1,0,27,6
org.jabref.gui.integrity.IntegrityCheckDialog,8,3,2,0,50,16
org.jabref.gui.integrity.IntegrityCheckDialogViewModel,3,2,1,0,3,2
org.jabref.gui.journals.AbbreviateAction,20,3,1,0,44,8
org.jabref.gui.journals.AbbreviationType,2,n/a,2,n/a,2,0
org.jabref.gui.journals.UndoableAbbreviator,8,1,1,0,18,11
org.jabref.gui.journals.UndoableUnabbreviator,7,1,1,0,13,6
org.jabref.gui.keyboard.CodeAreaKeyBindings,5,1,1,0,27,1
org.jabref.gui.keyboard.KeyBinding,27,n/a,6,n/a,8,5
org.jabref.gui.keyboard.KeyBindingCategory,6,n/a,3,n/a,6,2
org.jabref.gui.keyboard.KeyBindingRepository,29,1,1,0,61,32
org.jabref.gui.keyboard.KeyBindingsTabModelTest,8,1,1,0,40,11
org.jabref.gui.keyboard.TextInputKeyBindings,6,1,1,0,25,2
org.jabref.gui.libraryproperties.LibraryPropertiesAction,6,3,1,0,8,2
org.jabref.gui.libraryproperties.LibraryPropertiesDialogView,11,3,1,0,53,6
org.jabref.gui.libraryproperties.LibraryPropertiesDialogViewModel,20,1,3,0,105,31
org.jabref.gui.linkedfile.AttachFileAction,19,3,1,0,30,4
org.jabref.gui.linkedfile.LinkedFileEditDialogView,10,3,1,0,26,4
org.jabref.gui.linkedfile.LinkedFilesEditDialogViewModel,13,2,2,0,58,16
org.jabref.gui.logging.ApplicationInsightsAppender,3,4,2,0,25,4
org.jabref.gui.logging.ApplicationInsightsAppender.Builder,1,3,1,0,6,1
org.jabref.gui.logging.ApplicationInsightsLogEvent,1,2,1,0,34,19
org.jabref.gui.logging.GuiAppender,3,4,2,0,10,3
org.jabref.gui.logging.GuiAppender.Builder,1,3,1,0,6,1
org.jabref.gui.maintable.BibEntryTableViewModel,29,1,7,0,48,13
org.jabref.gui.maintable.CellFactory,13,1,1,0,12,4
org.jabref.gui.maintable.ColumnPreferences,13,1,2,0,3,3
org.jabref.gui.maintable.MainTable,40,6,6,0,150,44
org.jabref.gui.maintable.MainTableColumnFactory,28,1,2,0,80,23
org.jabref.gui.maintable.MainTableColumnModel,19,1,3,0,39,23
org.jabref.gui.maintable.MainTableColumnModel.Type,6,n/a,3,n/a,11,7
org.jabref.gui.maintable.MainTableColumnModelTest,2,1,2,0,10,6
org.jabref.gui.maintable.MainTableDataModel,18,1,3,0,37,10
org.jabref.gui.maintable.MainTableFieldValueFormatter,14,1,1,0,19,9
org.jabref.gui.maintable.MainTableNameFormatPreferences,6,1,2,0,3,3
org.jabref.gui.maintable.MainTableNameFormatPreferences.AbbreviationStyle,4,n/a,2,n/a,2,0
org.jabref.gui.maintable.MainTableNameFormatPreferences.DisplayStyle,4,n/a,2,n/a,2,0
org.jabref.gui.maintable.MainTablePreferences,6,1,3,0,4,4
org.jabref.gui.maintable.OpenExternalFileAction,14,3,1,0,21,9
org.jabref.gui.maintable.OpenFolderAction,13,3,1,0,18,5
org.jabref.gui.maintable.OpenUrlAction,14,3,1,0,24,8
org.jabref.gui.maintable.PersistenceVisualStateTable,6,1,1,0,19,3
org.jabref.gui.maintable.RightClickMenu,31,1,1,0,34,4
org.jabref.gui.maintable.SearchShortScienceAction,12,3,1,0,16,3
org.jabref.gui.maintable.SmartConstrainedResizePolicy,2,1,1,0,24,11
org.jabref.gui.maintable.columns.FieldColumn,10,4,1,0,19,6
org.jabref.gui.maintable.columns.FileColumn,18,4,3,0,49,12
org.jabref.gui.maintable.columns.LinkedIdentifierColumn,19,4,3,0,42,8
org.jabref.gui.maintable.columns.MainTableColumn,11,3,1,4,17,3
org.jabref.gui.maintable.columns.SpecialFieldColumn,19,4,3,0,54,9
org.jabref.gui.menus.ChangeEntryTypeMenu,18,1,1,0,39,12
org.jabref.gui.menus.FileHistoryMenu,7,3,1,0,33,12
org.jabref.gui.mergeentries.DiffHighlighting,3,1,1,0,29,21
org.jabref.gui.mergeentries.DiffHighlightingEllipsingTextFlow,4,6,1,0,46,28
org.jabref.gui.mergeentries.DiffHighlightingTest,1,1,3,0,30,14
org.jabref.gui.mergeentries.FetchAndMergeEntry,27,1,1,0,61,18
org.jabref.gui.mergeentries.MergeEntries,17,6,1,0,117,57
org.jabref.gui.mergeentries.MergeEntries.DefaultRadioButtonSelectionMode,2,n/a,2,n/a,2,0
org.jabref.gui.mergeentries.MergeEntries.DiffMode,5,n/a,3,n/a,8,3
org.jabref.gui.mergeentries.MergeEntriesAction,19,3,1,0,30,6
org.jabref.gui.mergeentries.MergeEntriesDialog,7,3,1,0,16,5
org.jabref.gui.mergeentries.MergeWithFetchedEntryAction,12,3,1,0,15,3
org.jabref.gui.mergeentries.MultiMergeEntriesView,17,3,2,0,109,23
org.jabref.gui.mergeentries.MultiMergeEntriesView.Cell,13,6,1,0,49,4
org.jabref.gui.mergeentries.MultiMergeEntriesView.FieldRow,7,1,1,0,37,6
org.jabref.gui.mergeentries.MultiMergeEntriesViewModel,7,2,1,0,23,13
org.jabref.gui.mergeentries.MultiMergeEntriesViewModel.EntrySource,5,1,3,0,13,5
org.jabref.gui.metadata.BibtexStringEditorAction,7,3,1,0,11,2
org.jabref.gui.metadata.BibtexStringEditorDialogView,11,3,1,0,62,6
org.jabref.gui.metadata.BibtexStringEditorDialogViewModel,8,2,5,0,42,13
org.jabref.gui.metadata.BibtexStringEditorItemModel,3,1,7,0,25,17
org.jabref.gui.metadata.PreambleEditor,9,3,1,0,24,4
org.jabref.gui.openoffice.AdvancedCiteDialogView,4,3,1,0,15,3
org.jabref.gui.openoffice.AdvancedCiteDialogViewModel,2,1,3,0,5,3
org.jabref.gui.openoffice.BibEntryNotFoundException,2,3,1,0,3,2
org.jabref.gui.openoffice.Bootstrap,2,1,2,0,48,26
org.jabref.gui.openoffice.CitationEntryViewModel,3,1,1,0,14,6
org.jabref.gui.openoffice.ConnectionLostException,2,4,0,0,2,1
org.jabref.gui.openoffice.DetectOpenOfficeInstallation,12,1,2,0,32,13
org.jabref.gui.openoffice.ManageCitationsDialogView,9,3,2,0,37,4
org.jabref.gui.openoffice.ManageCitationsDialogViewModel,6,1,1,0,25,6
org.jabref.gui.openoffice.OOBibBase,25,1,2,0,202,176
org.jabref.gui.openoffice.OOBibBase.ComparableMark,1,1,2,0,7,8
org.jabref.gui.openoffice.OOBibBase.DocumentTitleViewModel,1,1,1,0,5,3
org.jabref.gui.openoffice.OpenOfficePanel,43,1,1,0,155,45
org.jabref.gui.openoffice.OpenOfficeSidePanel,14,2,3,0,16,7
org.jabref.gui.openoffice.StyleSelectDialogView,19,3,1,0,60,8
org.jabref.gui.openoffice.StyleSelectDialogViewModel,15,1,3,0,70,15
org.jabref.gui.openoffice.StyleSelectItemViewModel,5,1,6,0,16,8
org.jabref.gui.openoffice.UndefinedCharacterFormatException,2,3,1,0,3,2
org.jabref.gui.preferences.AbstractPreferenceTabView,27,6,2,20,9,5
org.jabref.gui.preferences.PreferenceTabViewModel,n/a,n/a,n/a,n/a,5,n/a
org.jabref.gui.preferences.PreferencesDialogView,16,3,1,0,55,11
org.jabref.gui.preferences.PreferencesDialogViewModel,47,2,1,0,89,17
org.jabref.gui.preferences.PreferencesFilterDialog,6,3,1,0,37,5
org.jabref.gui.preferences.PreferencesSearchHandler,2,1,1,0,30,19
org.jabref.gui.preferences.PreferencesTab,n/a,n/a,n/a,n/a,6,n/a
org.jabref.gui.preferences.ShowPreferencesAction,5,3,1,0,5,2
org.jabref.gui.preferences.appearance.AppearanceTab,6,7,2,0,40,5
org.jabref.gui.preferences.appearance.AppearanceTabViewModel,12,1,1,0,59,24
org.jabref.gui.preferences.citationkeypattern.CitationKeyPatternTab,14,7,2,0,43,6
org.jabref.gui.preferences.citationkeypattern.CitationKeyPatternTabViewModel,11,1,1,0,48,21
org.jabref.gui.preferences.customexporter.CustomExporterTab,7,7,2,0,27,6
org.jabref.gui.preferences.customexporter.CustomExporterTabViewModel,8,1,1,0,26,12
org.jabref.gui.preferences.customimporter.CustomImporterTab,8,7,2,0,31,5
org.jabref.gui.preferences.customimporter.CustomImporterTabViewModel,13,1,1,0,51,14
org.jabref.gui.preferences.entryeditor.EntryEditorTab,5,7,2,0,28,3
org.jabref.gui.preferences.entryeditor.EntryEditorTabViewModel,9,1,1,0,52,27
org.jabref.gui.preferences.entryeditortabs.CustomEditorFieldsTab,10,7,2,0,17,4
org.jabref.gui.preferences.entryeditortabs.CustomEditorFieldsTabViewModel,10,1,1,0,29,10
org.jabref.gui.preferences.external.ExternalTab,9,7,2,0,45,7
org.jabref.gui.preferences.external.ExternalTabViewModel,15,1,2,0,77,23
org.jabref.gui.preferences.file.FileTab,10,7,2,0,27,3
org.jabref.gui.preferences.file.FileTabViewModel,4,1,1,0,32,10
org.jabref.gui.preferences.general.GeneralTab,15,7,2,0,47,3
org.jabref.gui.preferences.general.GeneralTabViewModel,12,1,1,0,70,22
org.jabref.gui.preferences.groups.GroupsTab,5,7,2,0,18,3
org.jabref.gui.preferences.groups.GroupsTabViewModel,6,1,1,0,23,9
org.jabref.gui.preferences.importexport.ImportExportTab,7,7,2,0,33,3
org.jabref.gui.preferences.importexport.ImportExportTabViewModel,10,1,1,0,53,13
org.jabref.gui.preferences.journals.AbbreviationViewModel,6,1,2,0,32,19
org.jabref.gui.preferences.journals.AbbreviationViewModelTest,2,1,4,0,11,4
org.jabref.gui.preferences.journals.AbbreviationsFileViewModel,7,1,1,0,37,14
org.jabref.gui.preferences.journals.JournalAbbreviationsTab,13,7,2,0,93,16
org.jabref.gui.preferences.journals.JournalAbbreviationsTabViewModel,18,1,2,0,114,51
org.jabref.gui.preferences.journals.JournalAbbreviationsViewModelTabTest,12,1,2,0,89,31
org.jabref.gui.preferences.keybindings.KeyBindingViewModel,10,1,2,0,41,27
org.jabref.gui.preferences.keybindings.KeyBindingViewModelTest,6,1,1,0,16,1
org.jabref.gui.preferences.keybindings.KeyBindingsTab,11,7,2,0,47,5
org.jabref.gui.preferences.keybindings.KeyBindingsTabViewModel,15,1,2,0,43,18
org.jabref.gui.preferences.keybindings.presets.BashKeyBindingPreset,3,1,2,0,4,2
org.jabref.gui.preferences.keybindings.presets.KeyBindingPreset,n/a,n/a,n/a,n/a,2,n/a
org.jabref.gui.preferences.keybindings.presets.NewEntryBindingPreset,4,1,2,0,5,2
org.jabref.gui.preferences.linkedfiles.LinkedFilesTab,11,7,2,0,40,4
org.jabref.gui.preferences.linkedfiles.LinkedFilesTabViewModel,10,1,2,0,59,20
org.jabref.gui.preferences.nameformatter.NameFormatterItemModel,3,1,2,0,13,10
org.jabref.gui.preferences.nameformatter.NameFormatterTab,14,7,2,0,51,7
org.jabref.gui.preferences.nameformatter.NameFormatterTabViewModel,7,1,1,0,33,12
org.jabref.gui.preferences.network.NetworkTab,15,7,2,0,56,7
org.jabref.gui.preferences.network.NetworkTabViewModel,14,1,2,0,81,31
org.jabref.gui.preferences.preview.PreviewTab,19,7,2,0,127,19
org.jabref.gui.preferences.preview.PreviewTab.EditAction,3,3,1,0,7,3
org.jabref.gui.preferences.preview.PreviewTabViewModel,20,1,3,0,154,62
org.jabref.gui.preferences.protectedterms.NewProtectedTermsFileDialog,10,3,0,0,31,2
org.jabref.gui.preferences.protectedterms.ProtectedTermsListItemModel,5,1,1,0,16,6
org.jabref.gui.preferences.protectedterms.ProtectedTermsTab,17,7,3,0,49,7
org.jabref.gui.preferences.protectedterms.ProtectedTermsTab.ContextAction,8,3,1,0,10,2
org.jabref.gui.preferences.protectedterms.ProtectedTermsTabViewModel,19,1,1,0,72,17
org.jabref.gui.preferences.table.TableTab,16,7,2,0,77,11
org.jabref.gui.preferences.table.TableTabViewModel,20,1,2,0,103,50
org.jabref.gui.preferences.xmp.XmpPrivacyTab,13,7,2,0,53,6
org.jabref.gui.preferences.xmp.XmpPrivacyTabViewModel,8,1,1,0,50,14
org.jabref.gui.preview.CopyCitationAction,23,3,1,0,48,14
org.jabref.gui.preview.CopyCitationActionTest,3,1,1,0,17,6
org.jabref.gui.preview.PreviewPanel,18,6,1,0,73,20
org.jabref.gui.preview.PreviewViewer,19,6,1,0,75,21
org.jabref.gui.push.AbstractPushToApplication,17,1,4,6,26,15
org.jabref.gui.push.PushToApplication,n/a,n/a,n/a,n/a,7,n/a
org.jabref.gui.push.PushToApplicationAction,17,3,1,0,35,16
org.jabref.gui.push.PushToApplicationSettings,17,1,2,3,46,4
org.jabref.gui.push.PushToApplicationsManager,18,1,2,0,31,8
org.jabref.gui.push.PushToEmacs,20,2,3,0,34,13
org.jabref.gui.push.PushToEmacsSettings,7,2,1,0,15,2
org.jabref.gui.push.PushToLyx,16,2,2,0,27,12
org.jabref.gui.push.PushToLyxSettings,7,2,0,0,4,1
org.jabref.gui.push.PushToTeXstudio,9,2,3,0,7,4
org.jabref.gui.push.PushToTexmaker,8,2,3,0,6,4
org.jabref.gui.push.PushToVim,16,2,2,0,29,11
org.jabref.gui.push.PushToVimSettings,7,2,1,0,14,2
org.jabref.gui.push.PushToWinEdt,9,2,3,0,7,4
org.jabref.gui.remote.JabRefMessageHandler,9,1,1,0,10,2
org.jabref.gui.search.ContainsAndRegexBasedSearchRuleDescriberTest,6,1,2,0,17,6
org.jabref.gui.search.GlobalSearchBar,38,6,1,0,151,26
org.jabref.gui.search.GlobalSearchBar.SearchPopupSkin,1,1,3,0,43,12
org.jabref.gui.search.GlobalSearchResultDialog,18,3,1,0,44,4
org.jabref.gui.search.GlobalSearchResultDialogViewModel,4,1,2,0,9,3
org.jabref.gui.search.GrammarBasedSearchRuleDescriberTest,7,1,2,0,24,10
org.jabref.gui.search.RebuildFulltextSearchIndexAction,14,3,1,0,21,7
org.jabref.gui.search.RebuildFulltextSearchIndexAction.GetCurrentLibraryTab,n/a,n/a,n/a,n/a,1,n/a
org.jabref.gui.search.SearchDisplayMode,3,n/a,4,n/a,7,3
org.jabref.gui.search.SearchResultsTable,16,6,0,0,34,2
org.jabref.gui.search.SearchResultsTableDataModel,10,1,3,0,24,5
org.jabref.gui.search.SearchTextField,5,1,1,0,6,1
org.jabref.gui.search.TextFlowEqualityHelper,3,1,2,0,9,8
org.jabref.gui.search.rules.describer.ContainsAndRegexBasedSearchRuleDescriber,11,1,1,0,19,8
org.jabref.gui.search.rules.describer.GrammarBasedSearchRuleDescriber,9,1,1,0,12,3
org.jabref.gui.search.rules.describer.GrammarBasedSearchRuleDescriber.DescriptionSearchBaseVisitor,18,3,3,0,35,14
org.jabref.gui.search.rules.describer.SearchDescriber,n/a,n/a,n/a,n/a,1,n/a
org.jabref.gui.search.rules.describer.SearchDescribers,8,1,1,0,11,5
org.jabref.gui.shared.ConnectToSharedDatabaseCommand,4,3,1,0,5,2
org.jabref.gui.shared.PullChangesFromSharedAction,6,3,1,0,10,2
org.jabref.gui.shared.SharedDatabaseLoginDialogView,10,3,1,0,62,7
org.jabref.gui.shared.SharedDatabaseLoginDialogViewModel,25,2,8,0,134,38
org.jabref.gui.shared.SharedDatabaseUIManager,32,1,1,0,79,12
org.jabref.gui.sidepane.SidePane,13,6,1,0,49,21
org.jabref.gui.sidepane.SidePane.PreferredIndexSort,5,1,1,0,7,2
org.jabref.gui.sidepane.SidePaneComponent,13,1,7,3,37,12
org.jabref.gui.sidepane.SidePaneComponent.ToggleCommand,3,3,1,0,4,2
org.jabref.gui.sidepane.SidePaneType,9,n/a,2,n/a,2,0
org.jabref.gui.slr.ExistingStudySearchAction,21,3,1,1,37,6
org.jabref.gui.slr.ManageStudyDefinitionView,15,3,1,0,82,18
org.jabref.gui.slr.ManageStudyDefinitionViewModel,9,1,1,0,67,30
org.jabref.gui.slr.SlrStudyAndDirectory,4,1,2,0,3,3
org.jabref.gui.slr.StartNewStudyAction,11,4,1,0,15,5
org.jabref.gui.slr.StudyDatabaseItem,2,1,2,0,18,15
org.jabref.gui.specialfields.SpecialFieldAction,17,3,1,0,31,10
org.jabref.gui.specialfields.SpecialFieldDatabaseChangeListener,2,n/a,3,n/a,3,1
org.jabref.gui.specialfields.SpecialFieldMenuItemFactory,10,1,2,0,16,4
org.jabref.gui.specialfields.SpecialFieldValueViewModel,14,1,1,0,10,6
org.jabref.gui.specialfields.SpecialFieldViewModel,19,1,1,0,28,10
org.jabref.gui.specialfields.SpecialFieldsPreferences,6,1,2,0,5,5
org.jabref.gui.texparser.CitationsDisplay,7,6,2,0,46,7
org.jabref.gui.texparser.ParseLatexAction,7,3,1,0,9,2
org.jabref.gui.texparser.ParseLatexDialogView,14,3,1,0,55,6
org.jabref.gui.texparser.ParseLatexDialogViewModel,18,2,2,0,86,18
org.jabref.gui.texparser.ParseLatexResultView,10,3,1,0,31,3
org.jabref.gui.texparser.ParseLatexResultViewModel,12,2,4,0,35,8
org.jabref.gui.texparser.ReferenceViewModel,3,1,2,0,10,5
org.jabref.gui.undo.AbstractUndoableJabRefEdit,13,2,2,12,4,2
org.jabref.gui.undo.CountingUndoManager,24,4,1,0,23,13
org.jabref.gui.undo.NamedCompound,32,3,2,0,13,7
org.jabref.gui.undo.UndoRedoAction,9,3,1,0,15,4
org.jabref.gui.undo.UndoableChangeType,10,3,1,0,18,5
org.jabref.gui.undo.UndoableFieldChange,22,3,1,0,21,7
org.jabref.gui.undo.UndoableInsertEntries,11,3,1,0,19,11
org.jabref.gui.undo.UndoableInsertString,7,3,1,0,14,4
org.jabref.gui.undo.UndoableKeyChange,8,3,1,0,13,5
org.jabref.gui.undo.UndoablePreambleChange,5,3,2,0,8,4
org.jabref.gui.undo.UndoableRemoveEntries,11,3,1,0,19,11
org.jabref.gui.undo.UndoableRemoveString,7,3,1,0,14,4
org.jabref.gui.undo.UndoableStringChange,6,3,1,0,10,7
org.jabref.gui.util.BackgroundTask,55,1,11,11,57,39
org.jabref.gui.util.BackgroundTask.BackgroundProgress,2,1,1,0,4,5
org.jabref.gui.util.BaseDialog,51,2,2,42,35,8
org.jabref.gui.util.BindingsHelper,29,1,11,0,42,22
org.jabref.gui.util.BindingsHelper.BidirectionalBinding,1,1,3,0,7,7
org.jabref.gui.util.BindingsHelper.BidirectionalListBinding,1,1,1,0,4,5
org.jabref.gui.util.BindingsHelper.BidirectionalMapBinding,1,1,1,0,4,5
org.jabref.gui.util.ColorUtil,3,1,3,0,8,3
org.jabref.gui.util.ColorUtilTest,1,1,2,0,14,4
org.jabref.gui.util.ControlHelper,17,1,5,0,30,24
org.jabref.gui.util.ControlHelper.EllipsisPosition,3,n/a,2,n/a,2,0
org.jabref.gui.util.CurrentThreadTaskExecutor,10,1,3,0,20,8
org.jabref.gui.util.CurrentThreadTaskExecutor.FailedFuture,1,1,4,0,7,6
org.jabref.gui.util.CustomLocalDragboard,12,1,1,0,18,12
org.jabref.gui.util.CustomTitledPaneSkin,2,4,2,0,48,15
org.jabref.gui.util.CustomTitledPaneSkin.ArrowSide,2,n/a,2,n/a,2,0
org.jabref.gui.util.CustomTitledPaneSkin.StyleableProperties,2,1,0,0,8,3
org.jabref.gui.util.DefaultFileUpdateMonitor,7,1,1,0,40,12
org.jabref.gui.util.DefaultTaskExecutor,29,1,3,0,52,20
org.jabref.gui.util.DialogWindowState,2,1,4,0,5,5
org.jabref.gui.util.DirectoryDialogConfiguration,14,1,1,0,3,2
org.jabref.gui.util.DirectoryDialogConfiguration.Builder,12,1,1,0,9,5
org.jabref.gui.util.DroppingMouseLocation,4,n/a,2,n/a,2,0
org.jabref.gui.util.FieldsUtil,13,1,1,0,6,8
org.jabref.gui.util.FileDialogConfiguration,27,1,5,0,9,7
org.jabref.gui.util.FileDialogConfiguration.Builder,26,1,2,0,31,16
org.jabref.gui.util.FileDialogConfigurationTest,5,1,6,0,28,7
org.jabref.gui.util.FileFilterConverter,11,1,6,0,37,12
org.jabref.gui.util.FileNodeViewModel,6,1,2,0,26,13
org.jabref.gui.util.IconValidationDecorator,19,3,1,0,20,10
org.jabref.gui.util.JabRefResourceLocator,1,1,1,0,4,1
org.jabref.gui.util.NoSelectionModel,4,3,15,0,16,15
org.jabref.gui.util.OnlyIntegerFormatter,2,2,0,0,4,2
org.jabref.gui.util.OnlyIntegerFormatter.IntegerFilter,1,1,1,0,5,2
org.jabref.gui.util.OpenHyperlinksInExternalBrowser,1,1,2,0,16,5
org.jabref.gui.util.OptionalObjectProperty,6,6,3,0,8,6
org.jabref.gui.util.OptionalValueTableCellFactory,2,2,1,0,7,4
org.jabref.gui.util.RadioButtonCell,1,9,1,0,25,5
org.jabref.gui.util.RecursiveTreeItem,5,3,2,0,27,13
org.jabref.gui.util.RecursiveTreeItemTest,4,1,1,0,24,4
org.jabref.gui.util.StreamGobbler,1,1,1,0,8,2
org.jabref.gui.util.TaskExecutor,n/a,n/a,n/a,n/a,5,n/a
org.jabref.gui.util.TextFlowLimited,2,6,1,0,29,8
org.jabref.gui.util.Theme,18,1,3,0,66,20
org.jabref.gui.util.Theme.Type,3,n/a,2,n/a,2,0
org.jabref.gui.util.ThemeTest,5,1,1,0,42,12
org.jabref.gui.util.TooltipTextUtil,11,1,2,0,37,25
org.jabref.gui.util.TooltipTextUtil.TextReplacement,5,1,0,0,1,1
org.jabref.gui.util.TooltipTextUtil.TextType,8,n/a,2,n/a,2,0
org.jabref.gui.util.TooltipTextUtilTest,4,1,2,0,33,18
org.jabref.gui.util.UiThreadList,1,5,5,0,18,7
org.jabref.gui.util.ValueTableCellFactory,24,1,2,1,16,27
org.jabref.gui.util.ViewModelListCellFactory,28,1,2,0,31,36
org.jabref.gui.util.ViewModelTableRowFactory,6,1,2,0,55,36
org.jabref.gui.util.ViewModelTextFieldTableCellVisualizationFactory,2,1,1,0,6,11
org.jabref.gui.util.ViewModelTreeCellFactory,3,1,5,0,13,11
org.jabref.gui.util.ViewModelTreeTableCellFactory,4,1,2,0,14,14
org.jabref.gui.util.ZipFileChooser,3,3,1,0,37,3
org.jabref.gui.util.comparator.NumericFieldComparator,3,1,1,0,10,13
org.jabref.gui.util.comparator.NumericFieldComparatorTest,1,1,1,0,13,11
org.jabref.gui.util.comparator.RankingFieldComparator,3,1,1,0,5,5
org.jabref.gui.util.comparator.RankingFieldComparatorTest,3,1,1,0,12,7
org.jabref.gui.util.comparator.SpecialFieldComparator,3,1,1,0,5,4
org.jabref.gui.util.comparator.SpecialFieldComparatorTest,3,1,1,0,13,8
org.jabref.gui.util.component.DiffHighlightingTextPane,1,6,0,0,2,1
org.jabref.gui.util.component.Tag,1,6,1,0,18,8
org.jabref.gui.util.component.TagBar,3,6,1,0,51,18
org.jabref.gui.util.component.TemporalAccessorPicker,6,7,4,0,35,15
org.jabref.gui.util.component.TemporalAccessorPicker.InternalConverter,1,2,1,0,9,4
org.jabref.gui.util.uithreadaware.UiThreadBinding,3,1,1,0,21,10
org.jabref.gui.util.uithreadaware.UiThreadChangeListener,3,1,1,0,8,4
org.jabref.gui.util.uithreadaware.UiThreadHelper,3,1,1,0,4,2
org.jabref.gui.util.uithreadaware.UiThreadInvalidationListener,4,1,1,0,8,4
org.jabref.gui.util.uithreadaware.UiThreadListChangeListener,2,1,1,0,8,4
org.jabref.gui.util.uithreadaware.UiThreadObservableList,3,1,1,0,69,34
org.jabref.gui.util.uithreadaware.UiThreadStringProperty,3,4,1,0,25,12
org.jabref.logic.JabRefException,13,3,1,4,12,7
org.jabref.logic.TypedBibEntry,11,1,1,0,17,5
org.jabref.logic.TypedBibEntryTest,7,1,1,0,16,6
org.jabref.logic.WatchServiceUnavailableException,2,4,0,0,2,1
org.jabref.logic.autosaveandbackup.AutosaveManager,8,1,1,0,29,9
org.jabref.logic.autosaveandbackup.BackupManager,23,1,1,0,51,18
org.jabref.logic.autosaveandbackup.BackupManagerTest,1,1,4,0,13,4
org.jabref.logic.auxparser.AuxParser,n/a,n/a,n/a,n/a,1,n/a
org.jabref.logic.auxparser.AuxParserResult,9,1,5,0,21,15
org.jabref.logic.auxparser.AuxParserTest,9,1,2,0,38,8
org.jabref.logic.auxparser.DefaultAuxParser,13,1,1,0,47,24
org.jabref.logic.auxparser.DefaultAuxParserTest,0,1,0,0,0,0
org.jabref.logic.bibtex.BibEntryAssert,14,1,1,0,23,10
org.jabref.logic.bibtex.BibEntryWriter,19,1,1,0,60,18
org.jabref.logic.bibtex.BibEntryWriterTest,19,1,1,0,66,28
org.jabref.logic.bibtex.FieldContentFormatter,8,1,1,0,14,4
org.jabref.logic.bibtex.FieldContentFormatterPreferences,29,1,1,0,4,3
org.jabref.logic.bibtex.FieldContentFormatterTest,5,1,1,0,12,4
org.jabref.logic.bibtex.FieldWriter,17,1,2,0,34,31
org.jabref.logic.bibtex.FieldWriterPreferences,17,1,4,0,8,6
org.jabref.logic.bibtex.FieldWriterTests,7,1,1,0,21,12
org.jabref.logic.bibtex.FileFieldWriter,11,1,3,0,20,10
org.jabref.logic.bibtex.FileFieldWriterTest,2,1,7,0,16,7
org.jabref.logic.bibtex.InvalidFieldValueException,6,3,0,0,2,1
org.jabref.logic.bibtex.comparator.BibDatabaseDiff,12,1,7,0,29,22
org.jabref.logic.bibtex.comparator.BibDatabaseDiffTest,6,1,3,0,31,8
org.jabref.logic.bibtex.comparator.BibEntryDiff,4,1,2,0,3,3
